類別編號,搜尋關鍵字,城市,景點名稱,Google 星級,評論數,地址
F2,國家公園,基隆市,七堵鐵道紀念公園,4.1,1420,206基隆市七堵區光明路23號
F2,國家公園,基隆市,湖海灣,4.4,1966,204基隆市安樂區湖海路二段198號
F2,國家公園,基隆市,外木山濱海大道,4.4,2363,203基隆市中山區湖海路一段
F2,國家公園,基隆市,清法戰爭紀念園區,4.1,272,202基隆市中正區中正路
F2,國家公園,基隆市,情人湖公園,4.3,5298,204基隆市安樂區基金一路208巷18號
F2,國家公園,基隆市,海洋廣場,4.3,19585,200基隆市仁愛區忠一路3-2號
F2,國家公園,基隆市,泰安瀑布,4.2,1216,206基隆市七堵區
F2,國家公園,基隆市,皇帝殿 萬人堆,4.4,146,202基隆市中正區
F2,國家公園,基隆市,姜子寮山步道,4.6,1469,206基隆市七堵區
F2,國家公園,基隆市,一〇一高地,4.4,772,202基隆市中正區
F2,國家公園,基隆市,和平島公園等嶼亭,4.6,227,202基隆市中正區
F2,國家公園,基隆市,老鷹岩,4.5,836,203基隆市中山區
F2,國家公園,基隆市,白米甕砲臺,4.3,4398,203基隆市中山區光華路37巷120號
F2,國家公園,基隆市,環山步道,4.6,158,202基隆市中正區
F2,國家公園,基隆市,紅龍山,4.0,57,基隆市安樂區203
F2,國家公園,基隆市,富民親水公園,4.3,1117,206基隆市七堵區瑪陵坑
F2,國家公園,基隆市,蕃字洞,4.3,131,202基隆市中正區平一路360號
F2,國家公園,基隆市,千疊敷,4.5,78,基隆市中正區
F2,國家公園,基隆市,國家新城第二觀景台,4.2,82,206基隆市七堵區自強路
F2,國家公園,基隆市,中正公園希望之丘,4.5,38,201基隆市信義區
F2,國家公園,基隆市,情人湖環湖步道,4.6,731,基隆市安樂區204
F2,國家公園,基隆市,Jinlong Lake Park,3.8,138,204基隆市安樂區樂利三街32巷33號的對面巷
F2,國家公園,基隆市,仁愛公園,3.7,69,200基隆市仁愛區
F2,國家公園,基隆市,海興步道,4.4,1012,203基隆市中山區安中產業道路
F2,國家公園,基隆市,希望之丘親子遊戲場,4.7,35,201基隆市信義區壽山路5號
F2,國家公園,基隆市,和平島地質公園遊客中心,4.3,194,20247基隆市中正區平一路360號
F2,國家公園,基隆市,中正公園牌樓,4.1,52,202基隆市中正區信二路203-299號
F2,國家公園,基隆市,大武崙砲台,4.3,1785,204基隆市安樂區
F2,國家公園,基隆市,信二防空洞,4.2,385,202基隆市中正區信二路284-1號
F2,國家公園,基隆市,潮境公園巨石相框,4.5,62,202基隆市中正區
F2,國家公園,基隆市,基隆塔,4.4,3074,202基隆市中正區義二路128號
F2,國家公園,基隆市,二沙灣砲臺,4.2,741,202基隆市中正區壽山路
F2,國家公園,基隆市,阿拉寶灣,4.5,186,202基隆市中正區
F2,國家公園,基隆市,和平島公園售票口,4.1,50,基隆市中正區
F2,國家公園,基隆市,新山水庫,4.1,153,204基隆市安樂區
F2,國家公園,基隆市,大佛禪寺,4.4,359,201基隆市信義區壽山路17號
F2,國家公園,基隆市,情人湖老火車頭,4.2,126,204基隆市安樂區基金一路208巷
F2,國家公園,基隆市,槓子寮砲臺,4.4,1011,201基隆市信義區教忠街141巷
F2,步道,基隆市,虎仔山登山步道,4.3,32,203基隆市中山區中山一路113巷
F2,步道,基隆市,瑪陵坑溪櫻花步道,3.8,162,206基隆市七堵區大華三路41號
F2,步道,基隆市,八斗子步道,4.4,151,202基隆市中正區
F2,步道,基隆市,容軒步道景觀平台,4.4,399,202基隆市中正區容軒步道
F2,步道,基隆市,情人湖登山步道,4.5,48,203基隆市中山區安中產業道路
F2,步道,基隆市,瑪西賞桐步道,4.3,73,206基隆市七堵區
F2,步道,基隆市,龍崗步道,4.4,39,202基隆市中正區北寧路2號
F2,步道,基隆市,大牛稠登山步道,3.9,50,206基隆市七堵區大同街63-1號
F2,步道,基隆市,火號山,4.7,81,203基隆市中山區
F2,步道,基隆市,基隆港西岸步道,4.3,123,200基隆市仁愛區港西街
F2,步道,基隆市,頂子寮山,4.0,60,205基隆市暖暖區
F2,步道,基隆市,總督嶺步道,3.9,56,"號, No. 1深澳坑路141巷信義區基隆市201"
F2,步道,基隆市,大德山,4.2,60,203基隆市中山區
F2,步道,基隆市,碇內尖砲台,4.3,60,205基隆市暖暖區
F2,步道,基隆市,六堵險圳,3.9,149,206基隆市七堵區
F2,步道,基隆市,慈佛寺步道,3.9,89,204基隆市安樂區安和一街205號
F2,步道,基隆市,石獅山,4.2,67,206基隆市七堵區大成街51號
F2,步道,基隆市,暖東峽谷滑瀑,4.3,343,205基隆市暖暖區
F2,步道,基隆市,碇內河濱步道,4.2,75,205基隆市暖暖區親水吊橋205號
F2,步道,基隆市,大武崙山,4.4,68,203基隆市中山區
F2,步道,基隆市,望幽海岸,4.7,64,202基隆市中正區
F2,步道,基隆市,摩天嶺山,3.8,35,203基隆市中山區
F2,步道,基隆市,佛光洞,3.9,93,200基隆市仁愛區
F2,步道,基隆市,龍門山,4.0,39,205基隆市暖暖區
F2,步道,基隆市,暖東峽谷 - 岩石峭壁與涼亭,4.5,174,基隆市暖暖區205
F2,瀑布,基隆市,泰安瀑布停車場,4.0,93,206基隆市七堵區泰安路187號
F2,森林遊樂區,基隆市,暖暖希望森林,4.3,120,205基隆市暖暖區水源路
F2,森林遊樂區,基隆市,暖暖運動公園,4.3,1221,205基隆市暖暖區東碇路15號
F2,森林遊樂區,基隆市,四維公園,4.4,267,204基隆市安樂區安和一街392號
F2,森林遊樂區,基隆市,基隆八斗子潮境公園,4.5,360,202基隆市中正區北寧路369巷50-45號
F2,森林遊樂區,基隆市,基隆市七堵室內兒童樂園,4.9,1402,206基隆市七堵區光明路21號6樓
F2,森林遊樂區,基隆市,暖暖親水公園,4.0,1216,205基隆市暖暖區東勢街1之27號號旁
F2,森林遊樂區,基隆市,暖暖運動公園兒童遊戲場,4.3,147,205基隆市暖暖區東碇路15號
F2,森林遊樂區,基隆市,LAPOPO 拉波波村,4.2,1938,205基隆市暖暖區東勢街221號
F2,森林遊樂區,基隆市,鸚鵡螺藝術造景,4.3,420,202基隆市中正區北寧路369巷
F2,森林遊樂區,基隆市,荖寮坑礦業生態園區,4.3,334,205基隆市暖暖區東勢坑產業道路
F2,森林遊樂區,基隆市,百福公園(八號公園),3.8,1312,206基隆市七堵區實踐路259號
F2,森林遊樂區,基隆市,天外天復育公園,3.7,296,201基隆市信義區培德路221之3號
F2,森林遊樂區,基隆市,國門廣場,4.5,269,200基隆市仁愛區港西街6-2號
F2,森林遊樂區,基隆市,苓蘭荷花池親水公園,4.0,100,206基隆市七堵區大華三路104號
F2,森林遊樂區,基隆市,八斗子海濱公園,4.4,1102,202基隆市中正區北寧路21號
F2,森林遊樂區,基隆市,內木山,4.1,63,203基隆市中山區中和路200巷160-2號
F2,森林遊樂區,基隆市,暖東峽谷,4.5,98,205基隆市暖暖區暖東峽谷(童軍活動中心
F2,森林遊樂區,基隆市,翠谷橋壺穴,4.1,223,206基隆市七堵區
F2,森林遊樂區,基隆市,大武崙澳底漁港,4.3,386,204基隆市安樂區
F2,森林遊樂區,基隆市,正濱漁港彩色街屋,4.3,10056,202基隆市中正區正濱路72號
F2,森林遊樂區,基隆市,鯉魚潭河澗親水空間,4.3,38,206基隆市七堵區
F2,森林遊樂區,基隆市,七堵河濱運動公園,4.0,94,206基隆市七堵區六合橋
F2,森林遊樂區,基隆市,碇內十五號公園,4.1,689,205基隆市暖暖區205
F2,森林遊樂區,基隆市,平浪橋,4.4,102,202基隆市中正區漁港三街
F2,森林遊樂區,基隆市,西勢水庫,4.3,190,205基隆市暖暖區
F2,野生動物保護區,基隆市,基隆市動物保護防疫所,4.6,175,201基隆市信義區信二路241號
F3,夜店,基隆市,Bad Mama Keelung - 基隆酒吧 / 餐酒館 /人氣必吃特色,4.7,301,200基隆市仁愛區孝一路34巷5號
F3,夜店,基隆市,Dope Bar（敬請IG、臉書限動確認是否店休）,4.8,232,202基隆市中正區義一路20號巷1號
F3,夜店,基隆市,BZ CORNER私房音樂餐酒館,4.8,215,200基隆市仁愛區愛三路106號2樓
F3,夜店,基隆市,SICILIA 西西里酒吧,4.9,57,200基隆市仁愛區仁二路233號2樓
F3,夜店,基隆市,食運糖水鋪,5.0,1286,200基隆市仁愛區仁四路13之1號
F3,夜店,基隆市,媽媽樂酒吧 Motherfunk Studio （營業三五六，週日採預約制，特殊節假日會更新時間）,4.9,59,200基隆市仁愛區劉銘傳路6巷25-25號
F3,夜店,基隆市,艾克猴 The Alcohol Bar,4.7,315,200基隆市仁愛區孝二路93巷1號1樓
F3,夜店,基隆市,人參民謠小屋 Bar GinsengCafe,4.8,224,200基隆市仁愛區孝一路34巷2號2樓
F3,夜店,基隆市,避風港精釀啤酒吧Craft Beer Bar｜Haven Taproom & Bottle Shop(公休請關注IG),5.0,332,200基隆市仁愛區愛三路98巷5號1樓
F3,夜店,基隆市,sweet&slow,5.0,49,202基隆市中正區義一路19號1 樓
F3,夜店,基隆市,橘子酒吧Orange,4.8,49,200基隆市仁愛區仁三路11-2號
F3,夜店,基隆市,So fun music club,4.2,43,200基隆市仁愛區愛三路49巷38號No
F3,夜店,基隆市,男賓止步PUB,4.5,38,20048基隆市仁愛區愛四路88號
F3,夜店,基隆市,哥倫布 Columbus Bar,4.4,95,200基隆市仁愛區孝三路30巷23號
F3,夜店,基隆市,Q BAR,4.5,53,200基隆市仁愛區仁一路293巷1號
F3,夜店,基隆市,魷魚啤酒吧 Squid craft beer taproom and bar,5.0,326,200基隆市仁愛區愛三路98巷18號1樓
F3,夜店,基隆市,晶鑽休閒舞場,3.8,32,200基隆市仁愛區忠四路13號11樓
F3,夜店,基隆市,PAY ME 酒吧,4.6,116,"1樓, No. 29號孝三路30巷仁愛區基隆市200"
F3,夜店,基隆市,基隆 卡瑪咖啡吧 Comme Coffee & Bar / （11/30 公休 Day Off ）,4.5,236,202基隆市中正區信二路284號1樓
F3,夜店,基隆市,梁山泊餐酒館,5.0,42,202基隆市中正區中正路752號
F3,夜店,基隆市,凱悅 YES KTV 基隆店,4.0,1051,200基隆市仁愛區仁二路230號
F3,夜店,基隆市,暖暮甜廚(預約制一人作業餐酒館 不定期公休),4.7,214,200基隆市仁愛區港西街17號2樓
F3,夜店,基隆市,曙‧初見咖啡x暮·相見酒廊 / 港式 / 咖啡廳,4.4,421,200基隆市仁愛區愛一路103-1號2樓
F3,夜店,基隆市,布娜飛餐酒館 基隆好食城店,4.5,1511,202004基隆市中正區中正路3號2樓
F3,夜店,基隆市,好樂迪KTV基隆店,4.1,221,201基隆市信義區信一路147號
F3,夜店,基隆市,京華卡拉OK,4.5,53,204基隆市安樂區安一路403-1號
F3,夜店,基隆市,美樂地Melody會館,4.7,137,206基隆市七堵區實踐路259號4樓之1
F3,夜店,基隆市,美人國,3.7,35,200基隆市仁愛區愛三路1號號
F3,夜店,基隆市,525創意酒食館/海風夢幻咖啡廳/度假手工甜點/森林系海鮮餐廳/友善動物餐廳,4.7,416,202基隆市中正區中正路525號
F3,夜店,基隆市,地地道道串燒居酒吧,4.8,57,20145基隆市信義區東信路34號
F3,夜店,基隆市,崆書屋 House K,4.3,83,202基隆市中正區信二路284-1號
F3,夜店,基隆市,大嘴巴茶坊 - 基隆廟口,4.7,2073,200基隆市仁愛區愛三路57號3樓
F3,夜店,基隆市,亞都音樂,4.7,309,200基隆市仁愛區仁二路259號
F3,夜店,基隆市,大廳酒吧-長榮桂冠酒店(基隆),3.8,38,20248基隆市中正區中正路62-1號
F3,夜店,基隆市,WeR國門廣場,4.7,148,200基隆市仁愛區港西街2號
F3,夜店,基隆市,嶼我 Me & Island,4.6,470,202基隆市中正區正濱路25號
F3,夜店,基隆市,老莫燒肉,4.4,635,201基隆市信義區信一路96巷13號
F3,酒吧,基隆市,遠景俱樂部（營業時間請關注IG),4.6,163,202基隆市中正區祥豐街481號
F3,酒吧,基隆市,樂海海鮮碳烤/海景第一排/寵物友善/鹽烤鯛魚需預訂/假日不接受訂位/禁帶外食,4.7,1165,20446基隆市安樂區湖海路二段166號
F3,酒吧,基隆市,Eddie's Cafe Et Tiramisu,4.5,541,200004基隆市仁愛區華四街25號一樓
F3,酒吧,基隆市,品都串燒攤 基隆,4.5,357,200基隆市仁愛區愛四路2-6號
F3,Live House,基隆市,基隆表演藝術中心演藝廳,4.1,639,202基隆市中正區信一路181號4至7樓
F3,Live House,基隆市,基隆表演藝術中心島嶼實驗劇場,4.6,39,202基隆市中正區信一路181號5樓
F3,Live House,基隆市,基隆文化中心,4.3,1525,202基隆市中正區信一路181號
F3,Live House,基隆市,萬祝號,4.8,827,202基隆市中正區中正路560號
F3,Live House,基隆市,基隆市暖暖室內兒童樂園,4.9,645,205基隆市暖暖區東勢街2號5 樓
F3,Live House,基隆市,享住旅店,4.2,1619,202基隆市中正區信一路156號
F3,Live House,基隆市,芳裕農場,4.3,1104,206基隆市七堵區大成街51號
F3,Live House,基隆市,Live互動美語基隆信義加盟校文馨文理補習班,5.0,100,200基隆市仁愛區愛二路33號3F
F3,Live House,基隆市,陶板屋 基隆信一店,4.7,6097,202基隆市中正區信一路177號12F
F3,Live House,基隆市,聖托里尼海景餐廳,4.1,2580,203基隆市中山區湖海路一段18號
F3,Live House,基隆市,芳裕玻璃咖啡屋,4.4,38,206基隆市七堵區大成街51號
F3,演唱會場地,基隆市,基隆市立體育館,3.9,1048,"2樓, No. 40-1號信二路信義區基隆市201"
F3,演唱會場地,基隆市,基隆國民運動中心,3.7,1243,200基隆市仁愛區獅球路8-1號
F3,演唱會場地,基隆市,通明里活動中心,3.9,60,203基隆市中山區中華路46巷4號
F3,演唱會場地,基隆市,正砂里民活動中心,4.4,38,202基隆市中正區中正路211號
F3,演唱會場地,基隆市,彭園基隆館｜婚宴場地 · 尾牙春酒 · 謝師宴場地 餐廳推薦,4.5,2203,202基隆市中正區中正路62之1號5樓
F3,演唱會場地,基隆市,國立臺灣海洋大學育樂館,4.4,165,202基隆市中正區北寧路2號
F3,演唱會場地,基隆市,海濱奇浩部落聚會所,4.7,45,202基隆市中正區正濱路116巷7弄16號
F3,演唱會場地,基隆市,基隆市信義區孝忠里民活動中心,4.1,63,201基隆市信義區深溪路8號
F3,演唱會場地,基隆市,成功片廠,4.8,32,206基隆市七堵區明德三路115號
F3,演唱會場地,基隆市,基隆市體育會,3.9,42,201基隆市信義區信二路40號
F3,演唱會場地,基隆市,新崙里民活動中心,4.2,54,204基隆市安樂區基金一路208巷6號
F3,演唱會場地,基隆市,孝岡里活動中心,3.7,54,201基隆市信義區深澳坑路256號
F3,演唱會場地,基隆市,114-1127基隆市暖暖區碇祥里里民會堂(銀髮健身俱樂部),4.1,139,205基隆市暖暖區碇內街100號
F3,演唱會場地,基隆市,陽明海洋文化藝術館,4.4,1466,200基隆市仁愛區港西街4號
F3,演唱會場地,基隆市,基隆海洋撞球廣場,4.1,37,200基隆市仁愛區仁五路31巷2弄46號2樓
F3,演唱會場地,基隆市,基隆市綜合體育場,4.0,260,201基隆市信義區正信路141號
F3,演唱會場地,基隆市,基隆市立田徑場,3.9,590,201基隆市信義區正信路28號
F3,演唱會場地,基隆市,GONG YU,4.8,135,202基隆市中正區正濱路96號
F3,迪斯可,基隆市,芊迪視聽歌唱行,4.8,290,200基隆市仁愛區愛一路43號11樓
F3,迪斯可,基隆市,CACO 基隆店,4.9,502,200基隆市仁愛區愛三路78號
F3,迪斯可,基隆市,德周TVGAME 基隆店,4.7,88,202基隆市中正區義一路105號1樓
F4,海水浴場,基隆市,和平島公園海水泳池,4.4,1456,202基隆市中正區
F4,海水浴場,基隆市,大武崙澳底沙灘,4.3,2707,204基隆市安樂區湖海路二段
F4,海水浴場,基隆市,基隆市海興游泳協會,4.4,769,203基隆市中山區協和街230號
F4,海水浴場,基隆市,大武崙白沙灘,4.2,587,基隆市大武崙白沙灘
F4,海水浴場,基隆市,外木山海水游泳池,4.0,239,204基隆市安樂區外木山海水游泳池
F4,海水浴場,基隆市,海興游泳池,4.4,155,"外木山海水游泳池, 安樂區基隆市204"
F4,海水浴場,基隆市,海興游泳池,4.2,110,203基隆市中山區
F4,海水浴場,基隆市,大坪海岸,4.5,2235,202基隆市中正區漁港一街
F4,海水浴場,基隆市,八斗子海豹岩,4.5,220,202基隆市中正區
F4,海水浴場,基隆市,八斗子海岸祕境,4.6,234,202基隆市中正區
F4,海水浴場,基隆市,海興游泳池停車場旁公共廁所,3.7,54,203基隆市中山區協和街230號
F4,海水浴場,基隆市,大武崙沙灘,4.2,34,203基隆市中山區
F4,海水浴場,基隆市,潮境智能海洋館,4.3,2522,202010基隆市中正區北寧路369巷61號
F4,海水浴場,基隆市,外木山漁港,4.3,2688,203基隆市中山區文化路92巷34-2號
F4,海水浴場,基隆市,長潭里漁港潮間帶,4.7,50,202基隆市中正區北寧路369巷43-2號號
F4,海水浴場,基隆市,小基隆嶼,4.7,43,202基隆市中正區
F4,海水浴場,基隆市,學游泳、學潛水、SUP、包船-海胤水上運動｜The Heirs of the Ocean,5.0,120,204基隆市安樂區安和一街四巷二十一號
F4,渡假村,基隆市,雨島旅店,4.8,631,200基隆市仁愛區仁三路8號
F4,渡假村,基隆市,HOTEL BEGINS 倉箱蜜境文旅,4.5,741,202基隆市中正區北寧路446巷51號
F4,渡假村,基隆市,長榮桂冠酒店（基隆）,4.2,8038,20248基隆市中正區中正路62-1號
F4,渡假村,基隆市,粼島旅宿,4.5,308,202基隆市中正區正濱路34號
F4,渡假村,基隆市,中華郵輪文旅｜基隆市民宿004號｜基隆海景民宿,4.9,180,20041基隆市仁愛區忠一路1之2號
F4,渡假村,基隆市,挪威森林基隆蔚藍海岸館,3.8,793,204基隆市安樂區武隆街67號
F4,渡假村,基隆市,華帥海景飯店,3.7,1090,200基隆市仁愛區孝二路108號
F4,渡假村,基隆市,安樓文旅 (Enzo House),5.0,336,200基隆市仁愛區仁三路11之4號
F4,渡假村,基隆市,蔚藍海景旅店,3.9,648,202基隆市中正區北寧路250之6號
F4,渡假村,基隆市,北都大飯店,3.7,2727,202基隆市中正區信二路319號
F4,渡假村,基隆市,基隆阿樂哈大飯店,3.2,901,202基隆市中正區信二路292之1號
F4,渡假村,基隆市,大華飯店(享住新大華館),3.8,1085,200基隆市仁愛區精一路15號6-9樓
F4,渡假村,基隆市,東岸之星精品旅店,3.7,825,202基隆市中正區信三路22號
F4,渡假村,基隆市,輕旅背包客棧 LIGHT INN,4.6,873,200基隆市仁愛區愛三路87號六樓之一
F4,渡假村,基隆市,集好旅店,4.1,772,20048基隆市仁愛區仁二路215號
F4,渡假村,基隆市,金華旅店,4.4,2444,20044基隆市仁愛區成功一路9號
F4,渡假村,基隆市,水之季主題旅館,4.6,72,203基隆市中山區中山一路119號2樓
F4,渡假村,基隆市,香草藝術旅店 Herb Art Hotel,3.4,766,201基隆市信義區義三路6號
F4,渡假村,基隆市,柯達大飯店 基隆店,3.7,1653,202基隆市中正區義一路7號
F4,渡假村,基隆市,金中泰賓館 JJT Hotel,3.6,111,200基隆市仁愛區文安里仁五路13號2樓
F4,渡假村,基隆市,華國商務飯店,3.5,1053,200基隆市仁愛區愛三路49巷18號
F4,游泳池,基隆市,基隆市立游泳池,4.1,67,201基隆市信義區信二路37-29號
F4,游泳池,基隆市,基隆 學游泳 找 菁英鐵人,4.9,89,基隆市信義區信二路40-1號201 號
F4,游泳池,基隆市,百福水漾樂活會館,3.6,324,206基隆市七堵區實踐路259號
F4,游泳池,基隆市,漾拾俱樂部_七堵國小游泳池,4.8,41,206基隆市七堵區明德一路184號
F4,游泳池,基隆市,世界健身俱樂部 基隆信義店 Sport,4.8,2765,201基隆市信義區信一路92號
F4,游泳池,基隆市,海興游泳池停車場,4.2,63,203基隆市中山區協和街
F4,游泳池,基隆市,小海豚泳裝-（不是轉角三角窗）泳池正對面,4.9,153,201012基隆市信義區信二路39號1樓
F4,游泳池,基隆市,DR.OCEAN-海柏士泳裝,5.0,575,204基隆市安樂區安一路331號
F4,游泳池,基隆市,健身工廠 Fitness Factory 基隆廠,5.0,1644,201基隆市信義區東明路177號3F
F4,游泳池,基隆市,喜市大樓,3.4,184,203基隆市中山區中和路85巷23號
F4,游泳池,基隆市,微風東岸,4.2,6437,200基隆市仁愛區仁二路236號
F5,博物館,基隆市,海科館－海洋科學廳,4.5,1209,202基隆市中正區北寧路367號國立海洋科技博物館5樓
F5,博物館,基隆市,國立海洋科技博物館－8k海洋劇場,4.3,1777,202基隆市中正區八斗街38號
F5,博物館,基隆市,基隆故事館,3.9,110,202基隆市中正區信一路181號
F5,博物館,基隆市,國立海洋科技博物館-區域探索館,4.0,1240,202基隆市中正區漁港二街2號
F5,博物館,基隆市,海科館-特展廳,4.3,58,202基隆市中正區北寧路367號
F5,博物館,基隆市,Badouzi Fishing Village Culture Museum,4.3,43,202基隆市中正區八斗街148號巷38號
F5,博物館,基隆市,基隆市史蹟館,3.8,49,201基隆市信義區壽山路6號
F5,觀景台,基隆市,虎仔山基隆地標,4.3,1638,203基隆市中山區中山一路241巷45號
F5,觀景台,基隆市,獅球嶺觀景台,4.4,248,200基隆市仁愛區益壽路
F5,觀景台,基隆市,外木山風景區涼亭,4.4,256,203基隆市中山區湖海路一段223號
F5,觀景台,基隆市,鵲橋,4.4,72,201基隆市信義區壽山路5號
F5,觀景台,基隆市,正濱漁港觀景台,4.5,115,202基隆市中正區正濱路96號和平橋頭(原民會館
F5,觀景台,基隆市,望幽平台,4.7,96,202基隆市中正區
F5,觀景台,基隆市,外木山濱海廊帶,4.6,573,基隆市中山區
F5,觀景台,基隆市,新山水庫觀景台,4.1,58,204基隆市安樂區204
F5,觀景台,基隆市,情人塔,4.4,457,204基隆市安樂區
F5,觀景台,基隆市,望海巷跨海景觀橋,4.5,72,202基隆市中正區北寧路373號
F5,觀景台,基隆市,希臘天空海景景觀餐廳,4.1,1345,202基隆市中正區北寧路369巷50號
F5,觀景台,基隆市,紅淡山觀景塔,4.3,82,200基隆市仁愛區
F5,觀景台,基隆市,暖東里觀景台,3.9,55,205基隆市暖暖區
F5,觀景台,基隆市,東岸旅客中心,4.4,513,202基隆市中正區中正路62號
F5,觀景台,基隆市,麗都蝶客花園,4.5,691,202基隆市中正區中正路3號3樓
F5,觀景台,基隆市,紅淡山扶輪塔,4.6,58,200基隆市仁愛區
F5,觀景台,基隆市,後山海景咖啡/restaurants/咖啡廳/下午茶/基隆景觀餐廳/美食/夜景餐廳,4.3,1596,203基隆市中山區中山二路51巷132號
F5,觀景台,基隆市,獅球嶺砲臺,4.1,833,200基隆市仁愛區獅球路
F5,觀景台,基隆市,基隆燈塔,4.3,1320,203基隆市中山區光華路51號
F5,觀景台,基隆市,球子山燈塔,4.4,811,203基隆市中山區中山三路103巷203號122-134號 旁軍營山頂 25°08'46. 121°44
F5,觀景台,基隆市,雙膨山，潮月峯,4.5,64,202基隆市中正區
F5,觀景台,基隆市,仙洞巖,4.3,3888,203基隆市中山區仁安街11號
F5,觀景台,基隆市,阿樂哈海鮮景觀餐廳,4.2,293,20241基隆市中正區義一路18號14、15樓
F5,觀光碼頭,基隆市,西岸旅客碼頭,3.9,392,200基隆市仁愛區港西街16號18 號
F5,觀光碼頭,基隆市,八斗子遊艇港星晨碼頭,3.9,1189,202基隆市中正區北寧路244號
F5,觀光碼頭,基隆市,基隆港東岸碼頭,3.7,102,基隆市中正路與 東海 街 口
F5,觀光碼頭,基隆市,基隆港西18號碼頭,3.7,130,203基隆市中山區
F5,觀光碼頭,基隆市,碧砂漁港燈塔,4.5,72,基隆市中正區
F5,觀光碼頭,基隆市,八斗子觀光漁港,3.6,8146,202基隆市中正區北寧路211號
F5,科學館,基隆市,國立海洋科技博物館-研究典藏中心,4.5,64,202基隆市中正區八斗街48號
F5,科學館,基隆市,海科館,4.7,53,202基隆市中正區北寧路367號
F5,科學館,基隆市,環保復育公園,4.3,1309,202基隆市中正區北寧路369巷
F5,科學館,基隆市,海洋科技博物館餐廳,3.6,61,202基隆市中正區
F6,動物園,基隆市,基隆恐龍AR生態園區,3.4,220,202基隆市中正區北寧路369巷77號潮境公園黑色貨櫃
F6,遊樂園,基隆市,基隆市仁愛室內兒童樂園,4.9,437,200基隆市仁愛區光一路28號6 樓
F6,遊樂園,基隆市,基隆市中正室內兒童樂園,5.0,1036,202基隆市中正區中正路236號7樓
F6,遊樂園,基隆市,基隆市中山室內兒童樂園,5.0,648,203基隆市中山區文化路168號5樓
F6,遊樂園,基隆市,基隆市信義室內兒童樂園,4.6,194,20147基隆市信義區信二路179號5樓
F6,遊樂園,基隆市,基隆市安樂室內兒童樂園,4.0,75,204基隆市安樂區麥金路482號7樓
F6,遊樂園,基隆市,哈哈哈哈密瓜樂園,4.7,58,200基隆市仁愛區愛四路42號
F6,遊樂園,基隆市,基隆信義親子館,4.9,116,201基隆市信義區東信路282-2號
F6,遊樂園,基隆市,布拉夾親子樂園,4.4,85,200002基隆市仁愛區愛四路80號
F6,遊樂園,基隆市,基隆市安樂親子館,4.6,116,204基隆市安樂區麥金路482號3樓
F6,遊樂園,基隆市,夾到飽親子樂園,2.4,45,200基隆市仁愛區愛四路62號
F6,遊樂園,基隆市,基隆市七堵親子館,4.6,95,基隆市七堵區自治街15號2062樓
F6,遊樂園,基隆市,美的世界公園 兒童遊戲場,3.9,51,201基隆市信義區教孝街55巷
F6,遊樂園,基隆市,友愛橋 兒童遊戲場,3.7,43,206基隆市七堵區
F6,遊樂園,基隆市,白米甕月老休閒園區,4.4,37,203基隆市中山區光華路37巷118號後山
F6,遊樂園,基隆市,孝德公園,3.5,375,201基隆市信義區培德路
F6,遊樂園,基隆市,基隆市仁愛親子館,4.9,105,"5樓, No. 28號光一路仁愛區基隆市200"
